,SSC-H,SSC-A,FSC-H,FSC-A
17157,44017.0,42857.44921875,-1000.0,-11359.91015625
17158,28028.0,26783.3046875,1968.0,-7470.0400390625
17159,8993.0,8468.314453125,2937.0,-2138.449951171875
17160,210822.0,213477.71875,3148.0,-1265.875
17162,4582.0,3924.42578125,1046.0,-3128.349853515625
17164,9363.0,9247.876953125,429.0,-10348.4453125
17165,127531.0,229704.796875,2519.0,-4293.43017578125
17166,149265.0,147248.328125,2526.0,-5159.73486328125
17167,2208.0,2119.469482421875,5733.0,-719.8150024414062
17168,139782.0,135392.921875,240.0,-10346.3544921875
17170,226538.0,223044.59375,2326.0,-10510.990234375
17171,41533.0,40016.46484375,1500.0,-12742.634765625
17172,4696.0,4300.66455078125,3598.0,2260.14501953125
17177,3947.0,3462.386474609375,873.0,-1742.39501953125
17178,5474.0,4674.3623046875,4755.0,4249.82470703125
17179,4283.0,4192.0595703125,1559.0,-3162.929931640625
17180,286117.0,284438.4375,2981.0,-1550.304931640625
17181,48170.0,46667.65234375,350.0,-12903.2802734375
17182,848193.0,829157.6875,10138.0,13874.6552734375
17183,8186.0,7892.587890625,4404.0,2249.219970703125
17184,9200.0,9036.2177734375,3225.0,-1953.6749267578125
17185,8072.0,7827.71923828125,2203.0,-3469.780029296875
17186,3812.0,3384.61083984375,2913.0,-2882.679931640625
17188,135441.0,132811.6875,1599.0,-6363.57470703125
17189,1743.0,1522.409423828125,1847.0,1335.4150390625
17190,168475.0,165874.546875,1073.0,-11048.21484375
17191,128698.0,129543.8359375,4032.0,-2244.659912109375
17192,2255.0,1909.1475830078125,355.0,-4850.89013671875
17193,278435.0,273189.8125,4053.0,-1820.199951171875
17194,5172.0,4748.86083984375,3432.0,1390.419921875
17195,3118746.0,3094360.75,50106.0,54803.59765625
17196,209016.0,211600.0625,4778.0,-9236.66015625
17197,119366.0,116953.2109375,3962.0,2199.6298828125
17198,48325.0,47543.578125,4372.0,12406.0498046875
17200,52298.0,52180.828125,4660.0,-3146.68505859375
17201,134026.0,134242.46875,7876.0,7130.60498046875
17202,2006.0,1305.7344970703125,418.0,-1652.8099365234375
17204,241499.0,239050.046875,3823.0,-9874.490234375
17206,28847.0,28496.708984375,1517.0,-7666.1201171875
17207,16414.0,16337.2958984375,3389.0,-1330.2850341796875
17208,7412.0,6627.91455078125,3656.0,1034.4549560546875
17209,2542.0,1938.773193359375,3783.0,3212.139892578125
17210,6261.0,5917.76904296875,1574.0,-3506.639892578125
17211,3422.0,2788.219482421875,394.0,-3202.35498046875
17213,34921.0,34660.17578125,2244.0,-1233.6700439453125
17214,7186.0,7061.3984375,3925.0,2059.885009765625
17215,10512.0,9895.828125,3817.0,1022.7699584960938
17216,7390.0,7493.47802734375,2953.0,140.41000366210938
17217,50420.0,49574.375,5814.0,7951.78466796875
17218,232374.0,233203.296875,6152.0,8436.5703125
17219,3389236.0,3415780.75,57376.0,56678.234375
17220,26798.0,26676.70703125,7694.0,5671.68994140625
17221,195618.0,196913.71875,4377.0,862.0299682617188
17223,242390.0,235617.421875,5815.0,10735.474609375
17224,3938.0,3574.201416015625,2416.0,-4950.06982421875
17225,3149482.0,3149807.0,57305.0,52537.5625
17226,177109.0,179894.09375,905.0,-9770.2744140625
17228,8073.0,8229.771484375,2757.0,-4271.580078125
17229,38764.0,38994.48046875,2332.0,-6030.884765625
17230,5831.0,5115.3359375,818.0,-6268.19482421875
17231,4837.0,4442.8408203125,543.0,-3881.034912109375
17232,1682.0,1235.71630859375,3855.0,-383.3249816894531
17234,862428.0,862584.125,3980.0,-4257.61474609375
17235,2259.0,2040.690673828125,2920.0,886.72998046875
17236,4076.0,3906.1689453125,1066.0,-4784.580078125
17237,194644.0,192507.328125,3117.0,-8369.21484375
17238,3736.0,3195.48828125,3071.0,-4578.6201171875
17239,45631.0,45736.68359375,5326.0,-158.1750030517578
17240,52075.0,50047.1796875,4559.0,4186.64990234375
17241,6615.0,6580.23291015625,3504.0,2208.655029296875
17242,50405.0,50741.609375,2759.0,-613.1300048828125
17244,206256.0,209959.015625,2822.0,-7959.955078125
17245,1735.0,1178.671875,2375.0,1102.85498046875
17246,1882.0,1752.8607177734375,3344.0,1612.9100341796875
17247,5143.0,5044.11376953125,1417.0,-6978.509765625
17248,8308.0,8283.271484375,4087.0,5704.46484375
17249,2939.0,2345.70751953125,7058.0,10469.0947265625
17250,3324.0,3151.217041015625,2912.0,-695.3049926757812
17251,3546030.0,3544658.25,62335.0,65384.984375
17253,227016.0,225401.796875,2732.0,-1294.280029296875
17254,220378.0,216644.65625,4795.0,-251.75
17255,192970.0,188308.703125,7975.0,15597.5751953125
17256,146330.0,143949.453125,5841.0,8827.3046875
17257,3612.0,3432.025146484375,2689.0,1262.4549560546875
17258,184909.0,185066.671875,5543.0,4066.570068359375
17259,253582.0,246931.9375,8566.0,14189.484375
17260,1797.0,1192.916259765625,-1410.0,-4639.51513671875
17261,195460.0,198512.96875,3754.0,-9744.2451171875
17262,3251502.0,3200777.0,62139.0,50451.4609375
17263,8612.0,8619.1845703125,1768.0,-3890.820068359375
17264,1759.0,1495.3919677734375,2219.0,404.510009765625
17265,7750.0,7797.49169921875,232.0,-5702.94482421875
17266,181881.0,181830.453125,2948.0,-7732.90478515625
17268,8401.0,8448.5869140625,2231.0,464.92999267578125
17269,226014.0,230643.921875,5195.0,-4816.40478515625
17270,1755.0,1290.6876220703125,2965.0,544.1599731445312
17271,138875.0,137703.921875,697.0,-9885.8896484375
17272,1740.0,1430.322509765625,1805.0,-1799.8699951171875
17273,1573.0,1190.9769287109375,-491.0,-3242.445068359375
17275,873085.0,863008.6875,6655.0,2742.175048828125
17276,3448.0,2897.7607421875,3811.0,-1152.824951171875
